,,,#,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,Unnamed: 15,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
107.0,Zimbabwe,256763,,5596 ,,251022.0,,145.0,12.0,16746.0,365.0,2484638.0,162049.0,15332677 ,Africa,6027406,,,9.0,,,,,
108.0,Uzbekistan,243830,,1637 ,,241486.0,,707.0,23.0,7063.0,47.0,1377915.0,39914.0,34522334 ,Asia,1422108925,,,20.0,,,,,
109.0,Mozambique,230129,,2221 ,,227769.0,,139.0,11.0,6941.0,67.0,1371127.0,41353.0,33156930 ,Africa,1441492924,,,4.0,,,,,
110.0,Brunei ,220245,,225 ,,219561.0,,459.0,3.0,493189.0,504.0,717784.0,1607316.0,446573 ,Asia,219851,,,1028.0,,,,,
111.0,Martinique,218764,,1035 ,,,,,8.0,583941.0,2763.0,828928.0,2212634.0,374634 ,North America,23620,,,580900.0,,,,,
112.0,Laos,214455,48.0,757 ,,,,,,28576.0,101.0,1233207.0,164323.0,7504778 ,Asia,3599146,6,,27454.0,,,,,
113.0,Kyrgyzstan,205716,,2991 ,,196406.0,,6319.0,131.0,30441.0,443.0,1907195.0,282217.0,6757901 ,Asia,3322594,,,935.0,,,,,
114.0,Iceland,204717,,179 ,,,,,2.0,591582.0,517.0,1993053.0,5759436.0,346050 ,Europe,219330,,,372354.0,,,,,
115.0,El Salvador,201785,,4224 ,,179266.0,,18295.0,8.0,30773.0,644.0,2610114.0,398051.0,6557241 ,North America,3215523,,,2790.0,,,,,
116.0,Afghanistan,194355,121.0,7783 ,1.0,172407.0,229.0,14165.0,1124.0,4760.0,191.0,1074381.0,26312.0,40831974 ,Asia,210524638,3,0.02,347.0,,,,,
117.0,Guadeloupe,191997,,986 ,,,,,19.0,479666.0,2463.0,938039.0,2343504.0,400272 ,North America,24060,,,471582.0,,,,,
118.0,Maldives,184856,,308 ,,163687.0,,20861.0,25.0,329385.0,549.0,2213831.0,3944711.0,561215 ,Asia,318220,,,37171.0,,,,,
119.0,Trinidad and Tobago,179886,,4158 ,,170205.0,,5523.0,18.0,127640.0,2950.0,822314.0,583481.0,1409324 ,North America,83392,,,3919.0,,,,,
120.0,Uganda,169396,,3628 ,,100431.0,,65337.0,3.0,3466.0,74.0,3012408.0,61631.0,48877970 ,Africa,2891347216,,,1337.0,,,,,
121.0,Namibia,169253,,4065 ,,164813.0,,375.0,,64091.0,1539.0,1062663.0,402399.0,2640816 ,Africa,166502,,,142.0,,,,,
122.0,Ghana,168580,,1459 ,,167080.0,,41.0,2.0,5190.0,45.0,2496486.0,76859.0,32481277 ,Africa,1932226313,,,1.0,,,,,
123.0,Jamaica,150180,,3267 ,,97012.0,,49901.0,,50241.0,1093.0,1172301.0,392176.0,2989220 ,North America,209153,,,16694.0,,,,,
124.0,Cambodia,137668,7.0,3056 ,,134507.0,11.0,105.0,,7994.0,177.0,3051743.0,177207.0,17221322 ,Asia,12556356,0.4,,6.0,,,,,
125.0,Rwanda,132453,,1466 ,,130901.0,,86.0,,9704.0,107.0,5767196.0,422524.0,13649384 ,Africa,10393112,,,6.0,,,,,
126.0,Cameroon,121652,,1935 ,,118616.0,,1101.0,13.0,4348.0,69.0,1751774.0,62607.0,27980689 ,Africa,2301446016,,,39.0,,,,,
127.0,Malta,114151,16.0,802 ,,112855.0,23.0,494.0,4.0,257042.0,1806.0,2046915.0,4609183.0,444095 ,Europe,45540,36,,1112.0,,,,,
128.0,Angola,102636,,1917 ,,100437.0,,282.0,,2925.0,55.0,1499795.0,42746.0,35086408 ,Africa,3421830323,,,8.0,,,,,
129.0,Barbados,101451,,544 ,,100090.0,,817.0,,352090.0,1888.0,756806.0,2626531.0,288139 ,North America,35300,,,2835.0,,,,,
130.0,French Guiana,93735,,408 ,,11254.0,,82073.0,3.0,297106.0,1293.0,650106.0,2060604.0,315493 ,South America,37730,,,260142.0,,,,,
131.0,DRC,92711,,1405 ,,83504.0,,7802.0,,971.0,15.0,846704.0,8868.0,95474185 ,Africa,103067953113,,,82.0,,,,,
132.0,Channel Islands,89657,,198 ,,89125.0,,334.0,,505560.0,1116.0,1252808.0,7064362.0,177342 ,Europe,28960,,,1883.0,,,,,
133.0,Senegal,88102,,1968 ,,85985.0,,149.0,,4977.0,111.0,1146543.0,64769.0,17702046 ,Africa,201899515,,,8.0,,,,,
134.0,Malawi,87901,,2678 ,,84928.0,,295.0,67.0,4351.0,133.0,610953.0,30240.0,20203334 ,Africa,230754433,,,15.0,,,,,
135.0,Ivory Coast,86821,,819 ,,85941.0,,61.0,,3123.0,29.0,1613343.0,58041.0,27796627 ,Africa,3203394017,,,2.0,,,,,
136.0,Suriname,81039,,1383 ,,49614.0,,30042.0,,135507.0,2313.0,238852.0,399390.0,598042 ,South America,74323,,,50234.0,,,,,
137.0,French Polynesia,76484,,649 ,,,,,7.0,268900.0,2282.0,,,284433 ,Australia/Oceania,4438,,,148840.0,,,,,
138.0,New Caledonia,73798,,314 ,,73032.0,,452.0,9.0,253205.0,1077.0,98964.0,339550.0,291456 ,Australia/Oceania,49283,,,1551.0,,,,,
139.0,Eswatini,73368,,1422 ,,71923.0,,23.0,11.0,61849.0,1199.0,1043970.0,880065.0,1186242 ,Africa,168341,,,19.0,,,,,
140.0,Guyana,71100,,1279 ,,69615.0,,206.0,,89458.0,1609.0,689134.0,867064.0,794790 ,South America,116211,,,259.0,,,,,
141.0,Belize,68350,,680 ,,67542.0,,128.0,6.0,165376.0,1645.0,576016.0,1393696.0,413301 ,North America,66081,,,310.0,,,,,
142.0,Fiji,68177,,878 ,,66192.0,,1107.0,,74875.0,964.0,652851.0,716988.0,910546 ,Australia/Oceania,1310371,,,1216.0,,,,,
143.0,Madagascar,66640,,1410 ,,65196.0,,34.0,2.0,2279.0,48.0,511408.0,17492.0,29236796 ,Africa,4392073557,,,1.0,,,,,
144.0,Sudan,63228,,4961 ,,,,,,1372.0,108.0,562941.0,12219.0,46072311 ,Africa,729928782,,,389.0,,,,,
145.0,Mauritania,62771,,993 ,,61747.0,,31.0,,12771.0,202.0,951667.0,193623.0,4915043 ,Africa,7849505,,,6.0,,,,,
146.0,Cabo Verde,62328,,410 ,,61843.0,,75.0,23.0,109521.0,720.0,401622.0,705718.0,569097 ,Africa,913881,,,132.0,,,,,
147.0,Bhutan,61076,,21 ,,60961.0,,94.0,,77306.0,27.0,2303734.0,2915923.0,790053 ,Asia,13376220,,,119.0,,,,,
148.0,Syria,57085,,3163 ,,53567.0,,355.0,,3098.0,172.0,146269.0,7939.0,18423779 ,Asia,3235825126,,,19.0,,,,,
149.0,Burundi,49287,,38 ,,47946.0,,1303.0,,3893.0,3.0,345742.0,27310.0,12659812 ,Africa,25733315337,,,103.0,,,,,
150.0,Gabon,48649,,306 ,,48067.0,,276.0,,20792.0,131.0,1614329.0,689952.0,2339770 ,Africa,4876461,,,118.0,,,,,
151.0,Seychelles,46081,,169 ,,45777.0,,135.0,,462340.0,1696.0,,,99669 ,Africa,2590,,,1354.0,,,,,
152.0,Andorra,46027,,154 ,,45791.0,,82.0,14.0,593644.0,1986.0,249838.0,3222344.0,77533 ,Europe,25030,,,1058.0,,,,,
153.0,Curaçao,45127,,282 ,,44720.0,,125.0,3.0,272590.0,1703.0,496693.0,3000278.0,165549 ,North America,45870,,,755.0,,,,,
154.0,Papua New Guinea,44887,,664 ,,43982.0,,241.0,7.0,4819.0,71.0,249149.0,26747.0,9315011 ,Australia/Oceania,2081402937,,,26.0,,,,,
155.0,Aruba,42792,,226 ,,42340.0,,226.0,2.0,397142.0,2097.0,177885.0,1650905.0,107750 ,North America,34771,,,2097.0,,,,,
156.0,Mauritius,40299,,1022 ,,38573.0,,704.0,,31574.0,801.0,358675.0,281017.0,1276348 ,Africa,3212494,,,552.0,,,,,
157.0,Mayotte,40095,,187 ,,,,,,139651.0,651.0,176919.0,616211.0,287108 ,Africa,715352,,,128676.0,,,,,
158.0,Tanzania,38712,,841 ,,,,,7.0,610.0,13.0,,,63428860 ,Africa,163875421,,,594.0,,,,,
159.0,Togo,38546,,283 ,,38058.0,,205.0,,4431.0,33.0,786762.0,90432.0,8700031 ,Africa,2263074211,,,24.0,,,,,
160.0,Isle of Man,38008,,116 ,,,,,,441902.0,1349.0,150753.0,1752738.0,86010 ,Europe,27411,,,129032.0,,,,,
161.0,Guinea,37470,,447 ,,36763.0,,260.0,8.0,2694.0,32.0,660107.0,47468.0,13906312 ,Africa,3713111021,,,19.0,,,,,
162.0,Bahamas,37081,,823 ,,35897.0,,361.0,1.0,92379.0,2050.0,248846.0,619944.0,401401 ,North America,114882,,,899.0,,,,,
163.0,Faeroe Islands,34658,,28 ,,,,,5.0,703487.0,568.0,778000.0,15791824.0,49266 ,Europe,117600,,,546767.0,,,,,
164.0,Lesotho,34206,,704 ,,25740.0,,7762.0,,15697.0,323.0,431221.0,197888.0,2179114 ,Africa,6430955,,,3562.0,,,,,
165.0,Haiti,33468,,841 ,,30819.0,,1808.0,,2859.0,72.0,132422.0,11314.0,11704309 ,North America,3501391788,,,154.0,,,,,
166.0,Mali,31623,,739 ,,30534.0,,350.0,,1470.0,34.0,743467.0,34552.0,21517433 ,Africa,6802911729,,,16.0,,,,,
167.0,Cayman Islands,30057,,29 ,,8553.0,,21475.0,1.0,445963.0,430.0,222773.0,3305335.0,67398 ,North America,223240,,,318630.0,,,,,
168.0,Saint Lucia,28894,,391 ,,28369.0,,134.0,,155806.0,2108.0,209716.0,1130855.0,185449 ,North America,64741,,,723.0,,,,,
169.0,Benin,27490,,163 ,,27217.0,,110.0,5.0,2146.0,13.0,604310.0,47165.0,12812711 ,Africa,4667860621,,,9.0,,,,,
170.0,Somalia,27020,,1350 ,,13182.0,,12488.0,,1603.0,80.0,400466.0,23758.0,16856068 ,Africa,6241248642,,,741.0,,,,,
171.0,Congo,24837,,386 ,,24006.0,,445.0,,4273.0,66.0,347815.0,59834.0,5813008 ,Africa,2341506017,,,77.0,,,,,
172.0,Timor-Leste,23163,,138 ,,22981.0,,44.0,,16871.0,101.0,275776.0,200861.0,1372969 ,Asia,5999495,,,32.0,,,,,
173.0,Solomon Islands,21544,,153 ,,16357.0,,5034.0,1.0,29779.0,211.0,5117.0,7073.0,723459 ,Australia/Oceania,344728141,,,6958.0,,,,,
174.0,Burkina Faso,21128,,387 ,,20632.0,,109.0,,954.0,17.0,248995.0,11242.0,22147920 ,Africa,10485723089,,,5.0,,,,,
175.0,San Marino,20398,,118 ,,20187.0,,93.0,4.0,598428.0,3462.0,157634.0,4624597.0,34086 ,Europe,22890,,,2728.0,,,,,
176.0,Gibraltar,20069,,108 ,,16579.0,,3382.0,,596068.0,3208.0,534283.0,15868692.0,33669 ,Europe,23120,,,100448.0,,,,,
177.0,Grenada,19346,,236 ,,18971.0,,139.0,4.0,170217.0,2076.0,177860.0,1564911.0,113655 ,North America,64821,,,1223.0,,,,,
178.0,Liechtenstein,19231,3.0,86 ,,19018.0,6.0,127.0,2.0,501251.0,2242.0,102174.0,2663139.0,38366 ,Europe,24460,78,,3310.0,,,,,
179.0,Nicaragua,18491,,225 ,,4225.0,,14041.0,,2721.0,33.0,,,6795665 ,North America,36830203,,,2066.0,,,,,
180.0,Bermuda,17913,,148 ,,17624.0,,141.0,,289953.0,2396.0,988467.0,16000049.0,61779 ,North America,34170,,,2282.0,,,,,
181.0,South Sudan,17823,,138 ,,17335.0,,350.0,1.0,1553.0,12.0,410280.0,35743.0,11478642 ,Africa,6448317928,,,30.0,,,,,
182.0,Tajikistan,17786,,125 ,,17264.0,,397.0,,1778.0,12.0,,,10002793 ,Asia,56280022,,,40.0,,,,,
183.0,Equatorial Guinea,16957,,183 ,,16623.0,,151.0,5.0,11281.0,122.0,365697.0,243298.0,1503082 ,Africa,8982144,,,100.0,,,,,
184.0,Samoa,15839,,29 ,,1605.0,,14205.0,4.0,78693.0,144.0,187397.0,931045.0,201276 ,Australia/Oceania,1369411,,,70575.0,,,,,
185.0,Tonga,15805,,12 ,,15043.0,,750.0,,145943.0,111.0,535009.0,4940247.0,108296 ,Australia/Oceania,790250,,,6925.0,,,,,
186.0,Djibouti,15690,,189  ,,15427.0,,74.0,,15395.0,185.0,305941.0,300179.0,1019194 ,Africa,6553933,,,73.0,,,,,
187.0,Marshall Islands,15063,,17 ,,13603.0,,1443.0,22.0,250812.0,283.0,,,60057 ,Australia/Oceania,43533,,,24027.0,,,,,
188.0,CAR,14862,,113 ,,14520.0,,229.0,2.0,2965.0,23.0,81294.0,16220.0,5012092 ,Africa,3374435562,,,46.0,,,,,
189.0,Dominica,14852,,68 ,,14554.0,,230.0,,205212.0,940.0,210195.0,2904289.0,72374 ,North America,510640,,,3178.0,,,,,
190.0,Monaco,14404,,57 ,,14301.0,,46.0,4.0,361492.0,1431.0,77770.0,1951764.0,39846 ,Europe,36991,,,1154.0,,,,,
191.0,Gambia,12311,,371 ,,11788.0,,152.0,,4801.0,145.0,155686.0,60718.0,2564097 ,Africa,208691116,,,59.0,,,,,
192.0,Greenland,11971,,21 ,,2761.0,,9189.0,4.0,210077.0,369.0,164926.0,2894251.0,56984 ,North America,527140,,,161256.0,,,,,
193.0,Saint Martin,11941,,63 ,,1399.0,,10479.0,7.0,297795.0,1571.0,112382.0,2802683.0,40098 ,North America,36360,,,261335.0,,,,,
194.0,Yemen,11931,,2155 ,,9119.0,,657.0,23.0,382.0,69.0,329592.0,10546.0,31252295 ,Asia,26191450295,,,21.0,,,,,
195.0,Vanuatu,11836,,14 ,,11751.0,,71.0,,36675.0,43.0,24976.0,77390.0,322729 ,Australia/Oceania,272305213,,,220.0,,,,,
196.0,Caribbean Netherlands,11032,,35 ,,10476.0,,521.0,,412380.0,1308.0,30126.0,1126121.0,26752 ,North America,27641,,,19475.0,,,,,
197.0,Sint Maarten,10836,,87 ,,10741.0,,8.0,10.0,246648.0,1980.0,62056.0,1412515.0,43933 ,North America,45051,,,182.0,,,,,
198.0,Eritrea,10155,,103 ,,10050.0,,2.0,,2780.0,28.0,23693.0,6486.0,3652986 ,Africa,36035466154,,,0.5,,,,,
199.0,Niger,9931,,312 ,,8867.0,,752.0,1.0,380.0,12.0,254538.0,9749.0,26109658 ,Africa,262983685103,,,29.0,,,,,
200.0,Antigua and Barbuda,8974,,145 ,,8794.0,,35.0,1.0,90020.0,1455.0,18901.0,189600.0,99689 ,North America,116885,,,351.0,,,,,
201.0,Guinea-Bissau,8796,,175 ,,8301.0,,320.0,6.0,4251.0,85.0,145231.0,70194.0,2068999 ,Africa,2351182314,,,155.0,,,,,
202.0,Comoros,8455,,161 ,,8281.0,,13.0,,9293.0,177.0,,,909822 ,Africa,1085651,,,14.0,,,,,
203.0,Liberia,7883,,294 ,,7461.0,,128.0,2.0,1483.0,55.0,139824.0,26303.0,5315799 ,Africa,6741808138,,,24.0,,,,,
204.0,Micronesia,7856,,27 ,,147.0,,7682.0,1.0,66779.0,230.0,21923.0,186355.0,117641 ,Australia/Oceania,1543575,,,65300.0,,,,,
205.0,Sierra Leone,7747,,126 ,,,,,,930.0,15.0,259958.0,31210.0,8329206 ,Africa,10756610532,,,331.0,,,,,
206.0,Chad,7538,,193 ,,4874.0,,2471.0,,432.0,11.0,191341.0,10965.0,17449372 ,Africa,23159041191,,,142.0,,,,,
207.0,British Virgin Islands,7291,,64 ,,,,,1.0,237740.0,2087.0,107243.0,3496902.0,30668 ,North America,44790,,,750.0,,,,,
208.0,St. Vincent Grenadines,7112,,115 ,,6641.0,,356.0,,63668.0,1029.0,100856.0,902878.0,111705 ,North America,169711,,,3187.0,,,,,
209.0,Saint Kitts and Nevis,6509,,46 ,,6446.0,,17.0,,120501.0,852.0,124861.0,2311556.0,54016 ,North America,811740,,,315.0,,,,,
210.0,Cook Islands,6373,,1 ,,6344.0,,28.0,,362123.0,57.0,19690.0,1118814.0,17599 ,Australia/Oceania,3175991,,,1591.0,,,,,
211.0,Turks and Caicos,6369,,36 ,,6294.0,,39.0,4.0,159808.0,903.0,549718.0,13793296.0,39854 ,North America,611070,,,979.0,,,,,
212.0,Sao Tome and Principe,6153,,76 ,,6060.0,,17.0,,26987.0,333.0,29036.0,127354.0,227995 ,Africa,3730008,,,75.0,,,,,
213.0,Palau,5403,,6 ,,5336.0,,61.0,1.0,295553.0,328.0,64461.0,3526120.0,18281 ,Australia/Oceania,330470,,,3337.0,,,,,
214.0,St. Barth,5263,,6 ,,,,,,529370.0,604.0,78646.0,7910481.0,9942 ,North America,216570,,,482297.0,,,,,
215.0,Nauru,4611,,1 ,,4605.0,,5.0,,420252.0,91.0,20509.0,1869213.0,10972 ,Australia/Oceania,2109721,,,456.0,,,,,
216.0,Anguilla,3837,,11 ,,3789.0,,37.0,4.0,250883.0,719.0,51382.0,3359618.0,15294 ,North America,413900,,,2419.0,,,,,
217.0,Kiribati,3430,,13 ,,2703.0,,714.0,3.0,27789.0,105.0,,,123428 ,Australia/Oceania,369494,,,5785.0,,,,,
218.0,Saint Pierre Miquelon,3131,,1 ,,2449.0,,681.0,1.0,546136.0,174.0,24902.0,4343625.0,5733 ,North America,257330,,,118786.0,,,,,
219.0,Falkland Islands,1886,, ,,,,,,509730.0,,8632.0,2332973.0,3700 ,South America,20,,,476216.0,,,,,
220.0,Montserrat,1190,,8 ,,1113.0,,69.0,,238048.0,1600.0,16597.0,3320064.0,4999 ,North America,46250,,,13803.0,,,,,
221.0,Macao,793,,6 ,,787.0,2.0,0.0,,1186.0,9.0,7850.0,11742.0,668553 ,Asia,84311142685,,,,,,,,
222.0,Wallis and Futuna,761,,7 ,,438.0,,316.0,,70385.0,647.0,20508.0,1896781.0,10812 ,Australia/Oceania,1415451,,,29227.0,,,,,
223.0,Diamond Princess,712,,13 ,,699.0,,0.0,,,,,, ,,,,,,,,,,
224.0,Niue,73,, ,,64.0,4.0,9.0,,44242.0,,,,1650 ,Australia/Oceania,23,,,5455.0,,,,,
225.0,Vatican City,29,, ,,29.0,,0.0,,36025.0,,,,805 ,Europe,28,,,,,,,,
226.0,Tuvalu,20,, ,,,,20.0,,1652.0,,,,12108 ,Australia/Oceania,605,,,1652.0,,,,,
227.0,Western Sahara,10,,1 ,,9.0,,0.0,,16.0,2.0,,,629229 ,Africa,62923629229,,,,,,,,
228.0,MS Zaandam,9,,2 ,,7.0,,0.0,,,,,, ,,,,,,,,,,
229.0,Saint Helena,7,, ,,2.0,,5.0,,1145.0,,,,6116 ,Africa,874,,,818.0,,,,,
230.0,China,245057,349.0,5226 ,,233604.0,320.0,6227.0,32.0,170.0,4.0,160000000.0,111163.0,1439323776 ,Asia,58732754169,0.2,,4.0,,,,,
